form_number,description,forms_received,approvals,denials,pending,pending_over_6_months,source_file,processing_time_days,month,year,seasonal_index,form_avg_processing_time,backlog_ratio
2,7,7844.0,4682.0,89.0,48156.0,17081.0,appropriation_requirement_march_2025 (1).csv,240.0,march,2025,389.3181818181818,401.2173913043478,6.138432122370937
3,10,16272.0,6603.0,374.0,236840.0,164568.0,appropriation_requirement_march_2025 (1).csv,657.0,march,2025,389.3181818181818,692.3478260869565,14.55416948319302
4,0,528151.0,297357.0,22488.0,2100110.0,930417.0,appropriation_requirement_march_2025 (1).csv,105.0,march,2025,389.3181818181818,99.0,3.976336357715203
5,1,96982.0,83989.0,8034.0,538903.0,128946.0,appropriation_requirement_march_2025 (1).csv,192.0,march,2025,389.3181818181818,187.43478260869566,5.55667488116474
0,8,144708.0,60642.0,18457.0,2168804.0,1680112.0,appropriation_requirement_may_2024 (1).csv,429.0,may,2024,377.04545454545456,505.69565217391306,14.98734702057232
1,9,13499.0,7023.0,531.0,158802.0,111290.0,appropriation_requirement_may_2024 (1).csv,297.0,may,2024,377.04545454545456,295.69565217391306,11.763111111111112
2,2,5518.0,2018.0,163.0,83081.0,48248.0,appropriation_requirement_may_2024 (1).csv,573.0,may,2024,377.04545454545456,401.2173913043478,15.053632904511687
2,3,11946.0,17127.0,232.0,150661.0,82043.0,appropriation_requirement_may_2024 (1).csv,159.0,may,2024,377.04545454545456,401.2173913043478,12.610780949192266
2,4,7170.0,13020.0,999.0,198342.0,144551.0,appropriation_requirement_may_2024 (1).csv,321.0,may,2024,377.04545454545456,401.2173913043478,27.65890391856087
2,5,32193.0,38424.0,4193.0,537936.0,325014.0,appropriation_requirement_may_2024 (1).csv,348.0,may,2024,377.04545454545456,401.2173913043478,16.709200472137667
2,6,3055.0,2621.0,303.0,58030.0,41544.0,appropriation_requirement_may_2024 (1).csv,513.0,may,2024,377.04545454545456,401.2173913043478,18.98887434554974
2,7,5074.0,851.0,152.0,38429.0,20464.0,appropriation_requirement_may_2024 (1).csv,537.0,may,2024,377.04545454545456,401.2173913043478,7.572216748768473
3,10,7440.0,11078.0,477.0,241631.0,188261.0,appropriation_requirement_may_2024 (1).csv,747.0,may,2024,377.04545454545456,692.3478260869565,32.47292030641043
4,0,404026.0,378840.0,62529.0,1335008.0,544937.0,appropriation_requirement_may_2024 (1).csv,99.0,may,2024,377.04545454545456,99.0,3.304254418640338
5,1,83506.0,76411.0,6906.0,466291.0,77968.0,appropriation_requirement_may_2024 (1).csv,168.0,may,2024,377.04545454545456,187.43478260869566,5.583855245668028
0,8,83758.0,78368.0,12951.0,2416102.0,1916571.0,appropriation_requirement_may_2025 (1).csv,462.0,may,2025,377.04545454545456,505.69565217391306,28.845879248797143
1,9,10319.0,5410.0,671.0,214343.0,168362.0,appropriation_requirement_may_2025 (1).csv,258.0,may,2025,377.04545454545456,295.69565217391306,20.76967054263566
2,2,6236.0,899.0,113.0,82549.0,46589.0,appropriation_requirement_may_2025 (1).csv,504.0,may,2025,377.04545454545456,401.2173913043478,13.235369568702902
2,3,23881.0,3376.0,226.0,267090.0,136077.0,appropriation_requirement_may_2025 (1).csv,285.0,may,2025,377.04545454545456,401.2173913043478,11.183736705468554
2,4,6563.0,8040.0,1091.0,180445.0,141810.0,appropriation_requirement_may_2025 (1).csv,333.0,may,2025,377.04545454545456,401.2173913043478,27.49009750152346
2,5,45424.0,44518.0,5985.0,597695.0,367356.0,appropriation_requirement_may_2025 (1).csv,297.0,may,2025,377.04545454545456,401.2173913043478,13.157842597688498
2,6,1540.0,1877.0,262.0,55222.0,46639.0,appropriation_requirement_may_2025 (1).csv,666.0,may,2025,377.04545454545456,401.2173913043478,35.83517196625568
2,7,8382.0,699.0,107.0,62934.0,22554.0,appropriation_requirement_may_2025 (1).csv,375.0,may,2025,377.04545454545456,401.2173913043478,7.507336275796255
3,10,12597.0,5237.0,259.0,251159.0,170202.0,appropriation_requirement_may_2025 (1).csv,663.0,may,2025,377.04545454545456,692.3478260869565,19.93641847912367
4,0,395958.0,311684.0,78588.0,1753599.0,506084.0,appropriation_requirement_may_2025 (1).csv,78.0,may,2025,377.04545454545456,99.0,4.428738834071204
5,1,84238.0,82102.0,7488.0,530238.0,118829.0,appropriation_requirement_may_2025 (1).csv,183.0,may,2025,377.04545454545456,187.43478260869566,6.294447939790358
0,8,84086.0,46324.0,3500.0,2271955.0,1830398.0,appropriation_requirement_november_2024 (1).csv,528.0,november,2024,367.6363636363636,505.69565217391306,27.01909926623616
1,9,11822.0,5925.0,545.0,193853.0,138408.0,appropriation_requirement_november_2024 (1).csv,327.0,november,2024,367.6363636363636,295.69565217391306,16.396261524147846
2,2,7132.0,9483.0,255.0,79136.0,47175.0,appropriation_requirement_november_2024 (1).csv,348.0,november,2024,367.6363636363636,401.2173913043478,11.094350203280527
2,3,19892.0,7269.0,326.0,169727.0,101700.0,appropriation_requirement_november_2024 (1).csv,303.0,november,2024,367.6363636363636,401.2173913043478,8.53199617956065
2,4,13575.0,9820.0,1096.0,185831.0,138046.0,appropriation_requirement_november_2024 (1).csv,318.0,november,2024,367.6363636363636,401.2173913043478,13.688199764289923
2,5,40239.0,26896.0,4115.0,539303.0,329757.0,appropriation_requirement_november_2024 (1).csv,393.0,november,2024,367.6363636363636,401.2173913043478,13.402162027833002
2,6,1603.0,1491.0,214.0,57634.0,47229.0,appropriation_requirement_november_2024 (1).csv,642.0,november,2024,367.6363636363636,401.2173913043478,35.93142144638404
2,7,4971.0,6524.0,133.0,44859.0,19825.0,appropriation_requirement_november_2024 (1).csv,270.0,november,2024,367.6363636363636,401.2173913043478,9.02232502011263
3,10,9502.0,9215.0,356.0,212525.0,178161.0,appropriation_requirement_november_2024 (1).csv,657.0,november,2024,367.6363636363636,692.3478260869565,22.36399031884668
4,0,423242.0,369824.0,23880.0,1202301.0,525435.0,appropriation_requirement_november_2024 (1).csv,75.0,november,2024,367.6363636363636,99.0,2.8406872647627956
5,1,85640.0,66293.0,5441.0,533709.0,111709.0,appropriation_requirement_november_2024 (1).csv,183.0,november,2024,367.6363636363636,187.43478260869566,6.231933302974043
0,8,87489.0,55884.0,7545.0,2235799.0,1815343.0,appropriation_requirement_october_2024 (1).csv,552.0,october,2024,369.27272727272725,505.69565217391306,25.554909132472282
1,9,14143.0,6824.0,676.0,188479.0,132489.0,appropriation_requirement_october_2024 (1).csv,333.0,october,2024,369.27272727272725,295.69565217391306,13.325721153846153
2,2,7530.0,10511.0,289.0,81775.0,50672.0,appropriation_requirement_october_2024 (1).csv,369.0,october,2024,369.27272727272725,401.2173913043478,10.858451732837604
2,3,17448.0,10807.0,299.0,157703.0,98392.0,appropriation_requirement_october_2024 (1).csv,267.0,october,2024,369.27272727272725,401.2173913043478,9.03793913691329
2,4,15236.0,12825.0,1588.0,183342.0,140655.0,appropriation_requirement_october_2024 (1).csv,336.0,october,2024,369.27272727272725,401.2173913043478,12.032683599133687
2,5,47689.0,30043.0,4959.0,529816.0,332336.0,appropriation_requirement_october_2024 (1).csv,399.0,october,2024,369.27272727272725,401.2173913043478,11.1095827217446
2,6,2356.0,2158.0,289.0,57651.0,46211.0,appropriation_requirement_october_2024 (1).csv,567.0,october,2024,369.27272727272725,401.2173913043478,24.459482392872296
2,7,5774.0,6015.0,125.0,46535.0,20790.0,appropriation_requirement_october_2024 (1).csv,318.0,october,2024,369.27272727272725,401.2173913043478,8.058008658008658
3,10,7825.0,11157.0,403.0,212468.0,181373.0,appropriation_requirement_october_2024 (1).csv,660.0,october,2024,369.27272727272725,692.3478260869565,27.14899054433938
4,0,428860.0,419971.0,29829.0,1178128.0,528789.0,appropriation_requirement_october_2024 (1).csv,90.0,october,2024,369.27272727272725,99.0,2.7471092032150275
5,1,81118.0,72681.0,6087.0,521418.0,101964.0,appropriation_requirement_october_2024 (1).csv,180.0,october,2024,369.27272727272725,187.43478260869566,6.427815924752524
0,8,72830.0,76122.0,9902.0,2361576.0,1961328.0,appropriation_requirement_october_2025_v1.0 (2).csv,450.0,october,2025,369.27272727272725,505.69565217391306,32.425423240103804
1,9,12110.0,6437.0,778.0,237524.0,193835.0,appropriation_requirement_october_2025_v1.0 (2).csv,276.0,october,2025,369.27272727272725,295.69565217391306,19.612253323424987
2,2,4663.0,1999.0,138.0,100895.0,70257.0,appropriation_requirement_october_2025_v1.0 (2).csv,459.0,october,2025,369.27272727272725,401.2173913043478,21.63271869639794
2,3,9059.0,1954.0,186.0,323471.0,235832.0,appropriation_requirement_october_2025_v1.0 (2).csv,387.0,october,2025,369.27272727272725,401.2173913043478,35.70320088300221
2,4,27938.0,9171.0,822.0,190583.0,130885.0,appropriation_requirement_october_2025_v1.0 (2).csv,354.0,october,2025,369.27272727272725,401.2173913043478,6.821396614052042
2,5,37288.0,40594.0,4947.0,535564.0,367016.0,appropriation_requirement_october_2025_v1.0 (2).csv,258.0,october,2025,369.27272727272725,401.2173913043478,14.362519777950602
2,6,2217.0,2923.0,431.0,48756.0,43150.0,appropriation_requirement_october_2025_v1.0 (2).csv,675.0,october,2025,369.27272727272725,401.2173913043478,21.981965734896303
2,7,8926.0,2151.0,87.0,96569.0,48957.0,appropriation_requirement_october_2025_v1.0 (2).csv,258.0,october,2025,369.27272727272725,401.2173913043478,10.817631903214966
3,10,11928.0,10286.0,191.0,264972.0,193627.0,appropriation_requirement_october_2025_v1.0 (2).csv,627.0,october,2025,369.27272727272725,692.3478260869565,22.212423505742308
4,0,237428.0,233842.0,19939.0,1679166.0,1028964.0,appropriation_requirement_october_2025_v1.0 (2).csv,108.0,october,2025,369.27272727272725,99.0,7.072286873128387
5,1,169159.0,58692.0,6852.0,641468.0,130810.0,appropriation_requirement_october_2025_v1.0 (2).csv,201.0,october,2025,369.27272727272725,187.43478260869566,3.7920785055568693
0,8,71568.0,86623.0,9461.0,2369937.0,1955348.0,appropriation_requirement_september 2025 (2).csv,429.0,september,2025,381.1363636363636,505.69565217391306,33.11401584484903
1,9,10518.0,6060.0,936.0,232676.0,188264.0,appropriation_requirement_september 2025 (2).csv,297.0,september,2025,381.1363636363636,295.69565217391306,22.119593117216464
2,2,4877.0,1911.0,84.0,98534.0,66416.0,appropriation_requirement_september 2025 (2).csv,432.0,september,2025,381.1363636363636,401.2173913043478,20.199671996719967
2,3,11152.0,3529.0,215.0,318763.0,212644.0,appropriation_requirement_september 2025 (2).csv,342.0,september,2025,381.1363636363636,401.2173913043478,28.5809199318569
2,4,5739.0,2662.0,980.0,172563.0,133820.0,appropriation_requirement_september 2025 (2).csv,423.0,september,2025,381.1363636363636,401.2173913043478,30.06324041811847
2,5,37819.0,48751.0,6771.0,543464.0,363697.0,appropriation_requirement_september 2025 (2).csv,264.0,september,2025,381.1363636363636,401.2173913043478,14.369751454257006
2,6,1650.0,3992.0,520.0,49759.0,44135.0,appropriation_requirement_september 2025 (2).csv,606.0,september,2025,381.1363636363636,401.2173913043478,30.13870381586917
2,7,8752.0,2294.0,78.0,89959.0,42899.0,appropriation_requirement_september 2025 (2).csv,276.0,september,2025,381.1363636363636,401.2173913043478,10.277504855478123
3,10,12073.0,9029.0,193.0,263656.0,190705.0,appropriation_requirement_september 2025 (2).csv,618.0,september,2025,381.1363636363636,692.3478260869565,21.836673844624812
4,0,225595.0,262688.0,22980.0,1698599.0,911946.0,appropriation_requirement_september 2025 (2).csv,111.0,september,2025,381.1363636363636,99.0,7.529384386247983
5,1,87903.0,71181.0,7198.0,537769.0,118313.0,appropriation_requirement_september 2025 (2).csv,201.0,september,2025,381.1363636363636,187.43478260869566,6.1176852020385875
0,8,75544.0,57514.0,9000.0,2207387.0,1800711.0,appropriation_requirement_september_2024 (1).csv,525.0,september,2024,381.1363636363636,505.69565217391306,29.219498312264214
1,9,11899.0,6024.0,478.0,181482.0,127168.0,appropriation_requirement_september_2024 (1).csv,333.0,september,2024,381.1363636363636,295.69565217391306,15.250588235294117
2,2,5459.0,7693.0,247.0,84766.0,55326.0,appropriation_requirement_september_2024 (1).csv,405.0,september,2024,381.1363636363636,401.2173913043478,15.524908424908425
2,3,10833.0,13464.0,202.0,151425.0,97685.0,appropriation_requirement_september_2024 (1).csv,201.0,september,2024,381.1363636363636,401.2173913043478,13.97683219494185
2,4,6801.0,1637.0,1626.0,182313.0,144708.0,appropriation_requirement_september_2024 (1).csv,759.0,september,2024,381.1363636363636,401.2173913043478,26.802852102322845
2,5,38409.0,35648.0,5179.0,515925.0,333050.0,appropriation_requirement_september_2024 (1).csv,360.0,september,2024,381.1363636363636,401.2173913043478,13.432048945587086
2,6,1936.0,2142.0,303.0,57737.0,45220.0,appropriation_requirement_september_2024 (1).csv,453.0,september,2024,381.1363636363636,401.2173913043478,29.807434176561692
2,7,4486.0,3837.0,118.0,46700.0,22464.0,appropriation_requirement_september_2024 (1).csv,384.0,september,2024,381.1363636363636,401.2173913043478,10.40784488522398
3,10,5677.0,10487.0,426.0,216281.0,185432.0,appropriation_requirement_september_2024 (1).csv,684.0,september,2024,381.1363636363636,692.3478260869565,38.09105318774216
4,0,356947.0,411996.0,27490.0,1196046.0,546496.0,appropriation_requirement_september_2024 (1).csv,96.0,september,2024,381.1363636363636,99.0,3.3507569730044713
5,1,88501.0,73159.0,5646.0,517125.0,96571.0,appropriation_requirement_september_2024 (1).csv,186.0,september,2024,381.1363636363636,187.43478260869566,5.843088291790016
